IdTok;IdProd;Niv;SegNorm;SegTrans;PhonNorm;PhonTrans;SyllabNorm;SyllabTrans;Categorie;Lemme;StatuErreurSimp;StatutErreur;StatutSegm;Genre;Nombre;BaseAdjNorm;GenreAdjNorm;NombreAdjNorm;BaseAdjTrans;GenreAdjTrans;NombreAdjTrans;ErreurAdjBase;ErreurAdjGenre;ErreurAdjNombre;VerPers;BaseVerForme;DesiVerForme;BaseVerProd;DesiVerProd;ErrVerBase;ErrVerDes;ErrVerBaseEtDes
EC-CM2-2018-XX-D1-S202-V1-8-8;202;CM2;Bonjour;Bonjour;bbonjjourr;bbonjjourr;Bon-jour;Bon-jour;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-9-9;202;CM2;,;,;##;##;_;_;PUN;,;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-10-10;202;CM2;je;je;jjee;jjee;je;je;PRO:PER;je;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-11-11;202;CM2;m\';m\';mm;mm;m\';m\';PRO:PER;me;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-12-12;202;CM2;appelle;appelle;aappaill;aappaill;ap-pel-le;ap-pel-le;VER:pres;appeler;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P1;appell;e;appell;e;0;0;0
EC-CM2-2018-XX-D1-S202-V1-13-13;202;CM2;B4;B4;????;????;B4;B4;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-14-14;202;CM2;je;je;jjee;jjee;je;je;PRO:PER;je;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-15-15;202;CM2;suis;suis;ssuyii;ssuyii;suis;suis;VER:pres;suivre|être;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;suis;;suis;;0;0;0
EC-CM2-2018-XX-D1-S202-V1-16-16;202;CM2;un;un;zzun;zzun;un;un;DET:ART;un;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-17-17;202;CM2;robot;robot;rroobbau;rroobbau;ro-bot;ro-bot;NOM;robot;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-18-18;202;CM2;programmé;programés;pprrooggrraammei;pprrooggrraammei;pro-gram-mé;pro-gra-més;VER:pper;programmer;_;02-Phono;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;programm;é;programés;µ;0;0;1
EC-CM2-2018-XX-D1-S202-V1-19-19;202;CM2;pour;pour;ppourr;ppourr;pour;pour;PRP;pour;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-20-20;202;CM2;assurer;assurer;aassuurrei;aassuurrei;as-su-rer;as-su-rer;VER:infi;assurer;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;assur;er;assur;er;0;0;0
EC-CM2-2018-XX-D1-S202-V1-21-21;202;CM2;votre;votre;vvoottrree;vvoottrree;vo-tre;vo-tre;DET:POS;votre;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-22-22;202;CM2;sécurité;sécurité;sseikkuurriittei;sseikkuurriittei;sé-cu-ri-té;sé-cu-ri-té;NOM;sécurité;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-23-23;202;CM2;,;,;##;##;_;_;PUN;,;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-24-24;202;CM2;vous;vous;vvou;vvou;vous;vous;PRO:PER;vous;_;01-Normé;01-Normé;_;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-25-25;202;CM2;ne;ne;nnee;nnee;ne;ne;ADV;ne;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-26-26;202;CM2;devez;devez;ddeevvei;ddeevvei;de-vez;de-vez;VER:pres;devoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P5;dev;ez;dev;ez;0;0;0
EC-CM2-2018-XX-D1-S202-V1-27-27;202;CM2;pas;pas;ppaa;ppaa;pas;pas;ADV;pas;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-28-28;202;CM2;trop;trop;ttrrau;ttrrau;trop;trop;ADV;trop;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S202-V1-29-29;202;CM2;savoir;savoir;ssaavvwwaarr;ssaavvwwaarr;sa-voir;sa-voir;VER:infi;savoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;sav;oir;sav;oir;0;0;0
EC-CM2-2018-XX-D1-S202-V1-30-30;202;CM2;où;ou;ou;ou;où;ou;PRO:REL;où;_;02-Phono;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
