IdTok;IdProd;Niv;SegNorm;SegTrans;PhonNorm;PhonTrans;SyllabNorm;SyllabTrans;Categorie;Lemme;StatuErreurSimp;StatutErreur;StatutSegm;Genre;Nombre;BaseAdjNorm;GenreAdjNorm;NombreAdjNorm;BaseAdjTrans;GenreAdjTrans;NombreAdjTrans;ErreurAdjBase;ErreurAdjGenre;ErreurAdjNombre;VerPers;BaseVerForme;DesiVerForme;BaseVerProd;DesiVerProd;ErrVerBase;ErrVerDes;ErrVerBaseEtDes
EC-CM2-2018-XX-D1-S2536-V1-225-225;2536;CM2;était;était;eittai;eittai;é-tait;é-tait;VER:impf;être;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;ét;ait;ét;ait;0;0;0
EC-CM2-2018-XX-D1-S2536-V1-226-226;2536;CM2;allé;allé;ttaallei;ttaallei;al-lé;al-lé;VER:pper;aller;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;all;é;all;é;0;0;0
EC-CM2-2018-XX-D1-S2536-V1-227-227;2536;CM2;chez;chez;chei;chei;chez;chez;PRP;chez;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-228-228;2536;CM2;Mila;Mila;mmiillaa;mmiillaa;Mi-la;Mi-la;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-229-229;2536;CM2;une;une;uunn;uunn;u-ne;u-ne;DET:ART;un;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-230-230;2536;CM2;chatte;chatte;chaatt;chaatt;chat-te;chat-te;NOM;chat|chatte;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-231-231;2536;CM2;blanche;blanche;bbllanch;bbllanch;blan-che;blan-che;ADJ;blanc;_;01-Normé;01-Normé;f;s;blanch;e;;blanch;e;;0;0;0;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-232-232;2536;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-233-233;2536;CM2;</sent>;</sent>;##;##;_;</sent>;[ZTRM->EXCEPTION];</sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-234-234;2536;CM2;<sent>;<sent>;##;##;_;<sent>;[ZTRM->EXCEPTION];<sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-235-235;2536;CM2;C\';Ses;ss;ssei;c\';ses;PRO:DEM;ce;_;02-Phono;03-HypoSeg;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-236-235;2536;CM2;est;ensie;ei;zzanssii;est;en-sie;VER:pres;être;_;06-ApproxPhono;03-HypoSeg;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-237-235;2536;CM2;ainsi;ensie;inssii;zzanssii;ain-si;en-sie;ADV;ainsi;_;06-ApproxPhono;03-HypoSeg;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-238-236;2536;CM2;que;que;kkee;kkee;que;que;KON;que;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-239-237;2536;CM2;Mila;Mila;mmiillaa;mmiillaa;Mi-la;Mi-la;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-240-238;2536;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-241-239;2536;CM2;Molok;Molok;mmaullookk;mmaullookk;Mo-lok;Mo-lok;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-242-240;2536;CM2;vivent;vive;vviivv;vviivv;vi-vent;vi-ve;VER:pres;vivre;_;02-Phono;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P6;viv;ent;viv;e;0;1;0
EC-CM2-2018-XX-D1-S2536-V1-243-241;2536;CM2;heureux;heureux;eurreu;eurreu;heu-reux;heu-reux;ADJ;heureux;_;01-Normé;01-Normé;m;_;heureux;;;heureux;;;0;0;0;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-244-242;2536;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-245-243;2536;CM2;eurent;eurent;uurr;uurr;eu-rent;eu-rent;VER:simp;avoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P6;e;urent;e;urent;0;0;0
EC-CM2-2018-XX-D1-S2536-V1-246-244;2536;CM2;beaucoup;beaucoup;bbaukkou;bbaukkou;beau-coup;beau-coup;ADV;beaucoup;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-247-245;2536;CM2;de;de;ddee;ddee;de;de;PRP;de;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-248-246;2536;CM2;chats;chat;chaa;chaa;chats;chat;NOM;chat;_;02-Phono;01-Normé;m;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-249-247;2536;CM2;.;_;##;_;_;_;SENT;.;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-250-248;2536;CM2;</sent>;</sent>;##;##;_;</sent>;[ZTRM->EXCEPTION];</sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2536-V1-251-249;2536;CM2;<FIN>;<FIN>;????;????;_;<FIN>;[];<FIN>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-1-1;2905;CM2;<sent>;<sent>;##;##;_;<sent>;[ZTRM->EXCEPTION];<sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-2-2;2905;CM2;Il;Il;iill;iill;il;il;PRO:PER;il;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-3-3;2905;CM2;était;était;eittai;eittai;é-tait;é-tait;VER:impf;être;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;ét;ait;ét;ait;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-4-4;2905;CM2;une;une;uunn;uunn;u-ne;u-ne;DET:ART;un;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-5-5;2905;CM2;fois;fois;ffwwaa;ffwwaa;fois;fois;NOM;foi|fois;_;01-Normé;01-Normé;f;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-6-6;2905;CM2;une;une;uunn;uunn;u-ne;u-ne;DET:ART;un;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-7-7;2905;CM2;sorcière;sorcière;ssoorrssyyairr;ssoorrssyyairr;sor-ciè-re;sor-ciè-re;NOM;sorcier;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-8-8;2905;CM2;qui;qui;kkii;kkii;qui;qui;PRO:REL;qui;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-9-9;2905;CM2;s\';s\';ss;ss;s\';s\';PRO:PER;se;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-10-10;2905;CM2;appelait;appelait;aappeellai;aappeellai;ap-pe-lait;ap-pe-lait;VER:impf;appeler;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;appel;ait;appel;ait;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-11-11;2905;CM2;Sorceline;Sorceline;ssoorrsseelliinn;ssoorrsseelliinn;Sor-ce-li-ne;Sor-ce-li-ne;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-12-12;2905;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-13-13;2905;CM2;son;son;sson;sson;son;son;DET:POS;son;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-14-14;2905;CM2;chat;chat;chaa;chaa;chat;chat;NOM;chat;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-15-15;2905;CM2;qui;qui;kkii;kkii;qui;qui;PRO:REL;qui;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-16-16;2905;CM2;s\';s\';ss;ss;s\';s\';PRO:PER;se;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-17-17;2905;CM2;appelait;appelait;aappeellai;aappeellai;ap-pe-lait;ap-pe-lait;VER:impf;appeler;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;appel;ait;appel;ait;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-18-18;2905;CM2;Cookie;Cookie;kkoukkii;kkoukkii;Co-o-kie;Co-o-kie;ADJ;<unknown>;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-19-19;2905;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-20-20;2905;CM2;</sent>;</sent>;##;##;_;</sent>;[ZTRM->EXCEPTION];</sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-21-21;2905;CM2;<sent>;<sent>;##;##;_;<sent>;[ZTRM->EXCEPTION];<sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-22-22;2905;CM2;Il;Il;iill;iill;il;il;PRO:PER;il;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-23-23;2905;CM2;adorait;adorait;aaddoorrai;aaddoorrai;a-do-rait;a-do-rait;VER:impf;adorer;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;ador;ait;ador;ait;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-24-24;2905;CM2;les;les;llei;llei;les;les;DET:ART;le;_;01-Normé;01-Normé;_;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-25-25;2905;CM2;cookies;cookie;kkooookkii;kkooookkii;co-o-kies;co-o-kie;NOM;<unknown>;_;02-Phono;01-Normé;m;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-26-26;2905;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-27-27;2905;CM2;</sent>;</sent>;##;##;_;</sent>;[ZTRM->EXCEPTION];</sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-28-28;2905;CM2;<sent>;<sent>;##;##;_;<sent>;[ZTRM->EXCEPTION];<sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-29-29;2905;CM2;Un;Un;un;un;un;un;DET:ART;un;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-30-30;2905;CM2;jour;jour;jjourr;jjourr;jour;jour;NOM;jour;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-31-31;2905;CM2;Sorceline;Sorceline;ssoorrsseelliinn;ssoorrsseelliinn;Sor-ce-li-ne;Sor-ce-li-ne;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-32-32;2905;CM2;se;se;ssee;ssee;se;se;PRO:PER;se;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-33-33;2905;CM2;fit;fit;ffii;ffii;fit;fit;VER:simp;faire;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;f;it;f;it;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-34-34;2905;CM2;des;des;ddei;ddei;des;des;PRP:det;du;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-35-35;2905;CM2;cookies;cookie;kkooookkii;kkooookkii;co-o-kies;co-o-kie;NOM;<unknown>;_;02-Phono;01-Normé;m;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-36-36;2905;CM2;,;,;##;##;_;_;PUN;,;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-37-37;2905;CM2;Cookie;Cookie;kkoukkii;kkoukkii;Co-o-kie;Co-o-kie;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-38-38;2905;CM2;en;en;an;an;en;en;PRO:PER;en;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-39-39;2905;CM2;demanda;demenda;ddeemmanddaa;ddeemmanddaa;de-man-da;de-men-da;VER:simp;demander;_;02-Phono;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;demand;a;demend;a;1;0;0
EC-CM2-2018-XX-D1-S2905-V1-40-40;2905;CM2;et;_;ei;_;et;_;KON;et;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-41-41;2905;CM2;Sorceline;Sorceline;ssoorrsseelliinn;ssoorrsseelliinn;Sor-ce-li-ne;Sor-ce-li-ne;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-42-42;2905;CM2;refusa;refusa;rreeffuuzzaa;rreeffuuzzaa;re-fu-sa;re-fu-sa;VER:simp;refuser;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;refus;a;refus;a;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-43-43;2905;CM2;de;de;ddee;ddee;de;de;PRP;de;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-44-44;2905;CM2;lui;lui;lluyii;lluyii;lui;lui;PRO:PER;lui;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-45-45;2905;CM2;en;en;an;an;en;en;PRP;en;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-46-46;2905;CM2;donner;donner;ddoonnei;ddoonnei;don-ner;don-ner;VER:infi;donner;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;donn;er;donn;er;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-47-47;2905;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-48-48;2905;CM2;</sent>;</sent>;##;##;_;</sent>;[ZTRM->EXCEPTION];</sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-49-49;2905;CM2;<sent>;<sent>;##;##;_;<sent>;[ZTRM->EXCEPTION];<sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-50-50;2905;CM2;Alors;Alors;aalloorr;aalloorr;a-lors;a-lors;ADV;alors;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-51-51;2905;CM2;Cookie;Cookie;kkoukkii;kkoukkii;Co-o-kie;Co-o-kie;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-52-52;2905;CM2;lui;lui;lluyii;lluyii;lui;lui;PRO:PER;lui;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-53-53;2905;CM2;dit;dit;ddii;ddii;dit;dit;VER:pres;dire;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;P3;di;t;di;t;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-54-54;2905;CM2;:;:;##;##;_;_;PUN;:;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-55-55;2905;CM2;<p/>;_;##;_;_;_;[BAL];<p/>;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-56-56;2905;CM2;<dialogue>;_;##;_;_;_;[BAL];<dialogue>;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-57-57;2905;CM2;-;-;##;##;---;---;PUN;-;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-58-58;2905;CM2;«;«;????;????;«;«;PUN:cit;«;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-59-59;2905;CM2;Puisque;Puisque;ppuyiisskkee;ppuyiisskkee;Puis-que;Puis-que;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-60-60;2905;CM2;tu;tu;ttuu;ttuu;tu;tu;PRO:PER;tu;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-61-61;2905;CM2;ne;_;nnee;_;ne;_;ADV;ne;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-62-62;2905;CM2;veux;veux;vveu;vveu;veux;veux;VER:pres;vouloir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P1|P2;veu;x;veu;x;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-63-63;2905;CM2;pas;pas;ppaa;ppaa;pas;pas;ADV;pas;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-64-64;2905;CM2;m\';m\';mm;mm;m\';m\';PRO:PER;me;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-65-65;2905;CM2;en;en;an;an;en;en;PRO:PER;en;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-66-66;2905;CM2;donner;donner;ddoonnei;ddoonnei;don-ner;don-ner;VER:infi;donner;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;donn;er;donn;er;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-67-67;2905;CM2;je;je;jjee;jjee;je;je;PRO:PER;je;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-68-68;2905;CM2;pars;pars;ppaarr;ppaarr;pars;pars;VER:pres;partir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P1|P2;par;s;par;s;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-69-69;2905;CM2;d\';d\';dd;dd;d\';d\';PRP;de;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-70-70;2905;CM2;ici;ici;iissii;iissii;i-ci;i-ci;ADV;ici;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-71-71;2905;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-72-72;2905;CM2;»;»;????;????;»;»;PUN:cit;»;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-73-73;2905;CM2;</dialogue>;_;##;_;_;_;[BAL];</dialogue>;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-74-74;2905;CM2;Donc;Donc;ddon;ddon;Donc;Donc;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-75-75;2905;CM2;Sorceline;Sorceline;ssoorrsseelliinn;ssoorrsseelliinn;Sor-ce-li-ne;Sor-ce-li-ne;NAM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-76-76;2905;CM2;était;était;eittai;eittai;é-tait;é-tait;VER:impf;être;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;ét;ait;ét;ait;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-77-77;2905;CM2;triste;triste;ttrriissttee;ttrriissttee;tris-te;tris-te;ADJ;triste;_;01-Normé;01-Normé;_;s;triste;;;triste;;;0;0;0;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-78-78;2905;CM2;,;_;##;_;_;_;NOM;<unknown>;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-79-79;2905;CM2;elle;elle;aill;aill;el-le;el-le;NOM;<unknown>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-80-80;2905;CM2;pleurait;pleurait;pplleurrai;pplleurrai;pleu-rait;pleu-rait;VER:impf;pleurer;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;pleur;ait;pleur;ait;0;0;0
EC-CM2-2018-XX-D1-S2905-V1-81-81;2905;CM2;nuit;nuit;nnuyii;nnuyii;nuit;nuit;NOM;nuit;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-82-82;2905;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-83-83;2905;CM2;jour;jour;jjourr;jjourr;jour;jour;NOM;jour;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-84-84;2905;CM2;sans;sans;ssan;ssan;sans;sans;PRP;sans;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2905-V1-85-85;2905;CM2;savoir;savoir;ssaavvwwaarr;ssaavvwwaarr;sa-voir;sa-voir;VER:infi;savoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;sav;oir;sav;oir;0;0;0
