IdTok;IdProd;Niv;SegNorm;SegTrans;PhonNorm;PhonTrans;SyllabNorm;SyllabTrans;Categorie;Lemme;StatuErreurSimp;StatutErreur;StatutSegm;Genre;Nombre;BaseAdjNorm;GenreAdjNorm;NombreAdjNorm;BaseAdjTrans;GenreAdjTrans;NombreAdjTrans;ErreurAdjBase;ErreurAdjGenre;ErreurAdjNombre;VerPers;BaseVerForme;DesiVerForme;BaseVerProd;DesiVerProd;ErrVerBase;ErrVerDes;ErrVerBaseEtDes
EC-CM2-2018-XX-D1-S2886-V1-112-111;2886;CM2;s\';si;ss;ssii;s\';si;PRO:PER;se;_;05-ApproxGraphique;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-113-112;2886;CM2;il;il;iill;iill;il;il;PRO:PER;il;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-114-113;2886;CM2;y;y;ii;ii;y;y;PRO:PER;y;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-115-114;2886;CM2;avait;avait;aavvai;aavvai;a-vait;a-vait;VER:impf;avoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;av;ait;av;ait;0;0;0
EC-CM2-2018-XX-D1-S2886-V1-116-115;2886;CM2;des;des;ddei;ddei;des;des;PRP:det;du;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-117-116;2886;CM2;pierres;pierres;ppyyairr;ppyyairr;pier-res;pier-res;NOM;pierre;_;01-Normé;01-Normé;f;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-118-117;2886;CM2;dedans;dedans;ddeeddan;ddeeddan;de-dans;de-dans;ADV;dedans;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-119-118;2886;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-120-119;2886;CM2;son;son;sson;sson;son;son;DET:POS;son;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-121-120;2886;CM2;cou;cou;kkou;kkou;cou;cou;NOM;cou;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-122-121;2886;CM2;était;était;eittai;eittai;é-tait;é-tait;VER:impf;être;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;ét;ait;ét;ait;0;0;0
EC-CM2-2018-XX-D1-S2886-V1-123-122;2886;CM2;bizarre;bizzare;bbiizzaarr;bbiizzaarr;bi-zar-re;biz-za-re;ADJ;bizarre;_;02-Phono;01-Normé;_;s;bizarre;;;bizzare;;;1;0;0;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-124-123;2886;CM2;comme;comme;kkoomm;kkoomm;com-me;com-me;ADV;comme;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-125-124;2886;CM2;s\';si;ss;ssii;s\';si;PRO:PER;se;_;05-ApproxGraphique;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-126-125;2886;CM2;il;il;iill;iill;il;il;PRO:PER;il;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-127-126;2886;CM2;y;y;ii;ii;y;y;PRO:PER;y;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-128-127;2886;CM2;avait;avait;aavvai;aavvai;a-vait;a-vait;VER:impf;avoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;av;ait;av;ait;0;0;0
EC-CM2-2018-XX-D1-S2886-V1-129-128;2886;CM2;une;une;ttuunn;ttuunn;u-ne;u-ne;DET:ART;un;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-130-129;2886;CM2;craie;crai;kkrrai;kkrrai;craie;crai;NOM;craie;_;02-Phono;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-131-130;2886;CM2;dedans;dedans;ddeeddan;ddeeddan;de-dans;de-dans;ADV;dedans;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2886-V1-132-131;2886;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
