IdTok;IdProd;Niv;SegNorm;SegTrans;PhonNorm;PhonTrans;SyllabNorm;SyllabTrans;Categorie;Lemme;StatuErreurSimp;StatutErreur;StatutSegm;Genre;Nombre;BaseAdjNorm;GenreAdjNorm;NombreAdjNorm;BaseAdjTrans;GenreAdjTrans;NombreAdjTrans;ErreurAdjBase;ErreurAdjGenre;ErreurAdjNombre;VerPers;BaseVerForme;DesiVerForme;BaseVerProd;DesiVerProd;ErrVerBase;ErrVerDes;ErrVerBaseEtDes
EC-CM2-2018-XX-D1-S940-V1-75-73;940;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-76-74;940;CM2;</sent>;</sent>;##;##;_;</sent>;[ZTRM->EXCEPTION];</sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-77-75;940;CM2;<sent>;<sent>;##;##;_;<sent>;[ZTRM->EXCEPTION];<sent>;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-78-76;940;CM2;Mais;Mais;mmai;mmai;mais;mais;KON;mais;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-79-77;940;CM2;vu;vu;vvuu;vvuu;vu;vu;VER:pper;voir;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;v;u;v;u;0;0;0
EC-CM2-2018-XX-D1-S940-V1-80-78;940;CM2;que;que;kkee;kkee;que;que;KON;que;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-81-79;940;CM2;celui-ci;celui-ci;sseelluyiissii;sseelluyiissii;ce-lui-----ci;ce-lui-----ci;PRO:DEM;celui-ci;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-82-80;940;CM2;était;était;eittai;eittai;é-tait;é-tait;VER:impf;être;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;ét;ait;ét;ait;0;0;0
EC-CM2-2018-XX-D1-S940-V1-83-81;940;CM2;un;un;ttun;ttun;un;un;DET:ART;un;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-84-82;940;CM2;loup;loup;llou;llou;loup;loup;NOM;loup;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-85-83;940;CM2;,;,;##;##;_;_;PUN;,;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-86-84;940;CM2;tout;tout;ttou;ttou;tout;tout;PRO:IND;tout;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-87-85;940;CM2;le;le;llee;llee;le;le;DET:ART;le;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-88-86;940;CM2;monde;monde;mmondd;mmondd;mon-de;mon-de;NOM;monde;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-89-87;940;CM2;avait;avait;aavvai;aavvai;a-vait;a-vait;VER:impf;avoir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;av;ait;av;ait;0;0;0
EC-CM2-2018-XX-D1-S940-V1-90-88;940;CM2;peur;peur;ppoerr;ppoerr;peur;peur;NOM;peur;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-91-89;940;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-92-90;940;CM2;à;à;aa;aa;à;à;PRP;à;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-93-91;940;CM2;chaque;chaque;chaakk;chaakk;cha-que;cha-que;PRO:IND;chaque;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-94-92;940;CM2;fois;fois;ffwwaa;ffwwaa;fois;fois;NOM;foi|fois;_;01-Normé;01-Normé;f;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-95-93;940;CM2;qu\';qu\';kk;kk;qu\';qu\';PRO:REL;que;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-96-94;940;CM2;il;il;iill;iill;il;il;PRO:PER;il;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-97-95;940;CM2;demandait;demendait;ddeemmanddai;ddeemmanddai;de-man-dait;de-men-dait;VER:impf;demander;_;02-Phono;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;demand;ait;demend;ait;1;0;0
EC-CM2-2018-XX-D1-S940-V1-98-96;940;CM2;de;de;ddee;ddee;de;de;PRP;de;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-99-97;940;CM2;l\';l\';ll;ll;l\';l\';DET:ART;le;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-100-98;940;CM2;aide;aide;aidd;aidd;ai-de;ai-de;NOM;aide;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-101-99;940;CM2;à;à;aa;aa;à;à;PRP;à;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-102-100;940;CM2;quelqu\'un;quelqu\'un;kkaillkkun;kkaillkkun;quel-qu\'un;quel-qu\'un;PRO:IND;quelqu\'un;_;01-Normé;01-Normé;_;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-103-101;940;CM2;,;,;##;##;_;_;PUN;,;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-104-102;940;CM2;cette;cette;ssaitt;ssaitt;cet-te;cet-te;PRO:DEM;ce;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-105-103;940;CM2;personne;personne;ppairrssoonn;ppairrssoonn;per-son-ne;per-son-ne;NOM;personne;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-106-104;940;CM2;s\';s\';ss;ss;s\';s\';PRO:PER;se;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-107-105;940;CM2;enfuit;enfuit;anffuyii;anffuyii;en-fuit;en-fuit;VER:pres;enfuir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;enfui;t;enfui;t;0;0;0
EC-CM2-2018-XX-D1-S940-V1-108-106;940;CM2;.;.;##;##;_;_;SENT;.;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-109-107;940;CM2;_;</sent>;_;##;_;</sent>;_;_;_;09-Non pertinent;07-Inséré;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-110-108;940;CM2;<p/>;_;##;_;_;_;[BAL];<p/>;_;09-Non pertinent;06-Omis;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-111-109;940;CM2;_;<sent>;_;##;_;<sent>;_;_;_;09-Non pertinent;07-Inséré;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-112-110;940;CM2;Le;Le;llee;llee;Le;le;DET:ART;le;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-113-111;940;CM2;pauvre;pauvre;ppauvvrree;ppauvvrree;pau-vre;pau-vre;ADJ;pauvre;_;01-Normé;01-Normé;_;s;pauvre;;;pauvre;;;0;0;0;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-114-112;940;CM2;loup;loup;llou;llou;loup;loup;NOM;loup;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-115-113;940;CM2;ne;ne;nnee;nnee;ne;ne;ADV;ne;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-116-114;940;CM2;voulait;voulait;vvoullai;vvoullai;vou-lait;vou-lait;VER:impf;vouloir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;voul;ait;voul;ait;0;0;0
EC-CM2-2018-XX-D1-S940-V1-117-115;940;CM2;faire;faire;ffairr;ffairr;fai-re;fai-re;VER:infi;faire;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;fai;re;fai;re;0;0;0
EC-CM2-2018-XX-D1-S940-V1-118-116;940;CM2;de;de;ddee;ddee;de;de;PRP;de;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-119-117;940;CM2;mal;mal;mmaall;mmaall;mal;mal;NOM;mal;_;01-Normé;01-Normé;m;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S940-V1-120-118;940;CM2;à;à;aa;aa;à;à;PRP;à;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
