IdTok;IdProd;Niv;SegNorm;SegTrans;PhonNorm;PhonTrans;SyllabNorm;SyllabTrans;Categorie;Lemme;StatuErreurSimp;StatutErreur;StatutSegm;Genre;Nombre;BaseAdjNorm;GenreAdjNorm;NombreAdjNorm;BaseAdjTrans;GenreAdjTrans;NombreAdjTrans;ErreurAdjBase;ErreurAdjGenre;ErreurAdjNombre;VerPers;BaseVerForme;DesiVerForme;BaseVerProd;DesiVerProd;ErrVerBase;ErrVerDes;ErrVerBaseEtDes
EC-CM2-2018-XX-D1-S2889-V1-49-49;2889;CM2;comme;comme;kkoomm;kkoomm;com-me;com-me;KON;comme;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-50-50;2889;CM2;tous;tout;ttouss;ttou;tous;tout;PRO:IND;tout;_;05-ApproxGraphique;01-Normé;m;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-51-51;2889;CM2;les;les;llei;llei;les;les;DET:ART;le;_;01-Normé;01-Normé;_;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-52-52;2889;CM2;jours;jours;jjourr;jjourr;jours;jours;NOM;jour;_;01-Normé;01-Normé;m;p;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-53-53;2889;CM2;,;,;##;##;_;_;PUN;,;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-54-54;2889;CM2;partit;partit;ppaarrttii;ppaarrttii;par-tit;par-tit;VER:simp;partir;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;P3;part;it;part;it;0;0;0
EC-CM2-2018-XX-D1-S2889-V1-55-55;2889;CM2;faire;faire;ffairr;ffairr;fai-re;fai-re;VER:infi;faire;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;fai;re;fai;re;0;0;0
EC-CM2-2018-XX-D1-S2889-V1-56-56;2889;CM2;sa;sa;ssaa;ssaa;sa;sa;DET:POS;son;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-57-57;2889;CM2;longue;longue;llongg;llongg;lon-gue;lon-gue;ADJ;long;_;01-Normé;01-Normé;f;s;longu;e;;longu;e;;0;0;0;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-58-58;2889;CM2;promenade;promenade;pprroommeennaadd;pprroommeennaadd;pro-me-na-de;pro-me-na-de;NOM;promenade;_;01-Normé;01-Normé;f;s;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
EC-CM2-2018-XX-D1-S2889-V1-59-59;2889;CM2;et;et;ei;ei;et;et;KON;et;_;01-Normé;01-Normé;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
